"Name","Live Bytes","Live Objects"
"javax.management.MBeanAttributeInfo","1,920 B (0%)","60 (0%)"
"javassist.CtClassType","3,712 B (0%)","58 (0%)"
"java.lang.Thread","21,808 B (0%)","58 (0%)"
"org.graalvm.visualvm.lib.jfluid.wireprotocol.MonitoredNumbersResponse","5,472 B (0%)","57 (0%)"
"java.lang.reflect.Field[]","2,584 B (0%)","57 (0%)"
"java.util.logging.LogManager$LoggerWeakRef","2,592 B (0%)","54 (0%)"
"javassist.bytecode.AnnotationsAttribute","1,224 B (0%)","51 (0%)"
"javax.management.MBeanAttributeInfo[]","2,544 B (0%)","49 (0%)"
"javassist.bytecode.LongVector","1,176 B (0%)","49 (0%)"
"javassist.bytecode.ConstInfo[][]","2,352 B (0%)","49 (0%)"
"javassist.bytecode.ClassFile","3,136 B (0%)","49 (0%)"
"javassist.bytecode.ConstPool","1,568 B (0%)","49 (0%)"
"javax.management.MBeanInfo","2,304 B (0%)","48 (0%)"
"java.lang.RuntimePermission","1,104 B (0%)","46 (0%)"
"javax.management.openmbean.OpenMBeanAttributeInfoSupport","2,880 B (0%)","45 (0%)"
"java.lang.ThreadLocal$ThreadLocalMap","1,032 B (0%)","43 (0%)"
"java.lang.invoke.MethodHandle[]","3,376 B (0%)","43 (0%)"
"java.lang.ThreadLocal$ThreadLocalMap$Entry[]","3,440 B (0%)","43 (0%)"
"java.util.jar.Attributes","656 B (0%)","41 (0%)"
"sun.management.DiagnosticCommandArgumentInfo","1,600 B (0%)","40 (0%)"
"javassist.bytecode.SourceFileAttribute","960 B (0%)","40 (0%)"
"javax.management.MBeanOperationInfo[]","1,008 B (0%)","39 (0%)"
"sun.util.locale.LocaleObjectCache$CacheEntry","1,872 B (0%)","39 (0%)"
"javassist.bytecode.IntegerInfo","912 B (0%)","38 (0%)"
"sun.reflect.generics.tree.ClassTypeSignature","592 B (0%)","37 (0%)"
"sun.reflect.generics.tree.TypeArgument[]","672 B (0%)","37 (0%)"
"com.tvd12.ezyfox.codec.MsgPackType","888 B (0%)","37 (0%)"
"java.util.logging.LogManager$LogNode","1,184 B (0%)","37 (0%)"
"sun.reflect.generics.tree.SimpleClassTypeSignature","888 B (0%)","37 (0%)"
"java.util.concurrent.ConcurrentHashMap$ValuesView","576 B (0%)","36 (0%)"
"ch.qos.logback.core.joran.spi.ElementSelector","560 B (0%)","35 (0%)"
"java.security.BasicPermissionCollection","1,120 B (0%)","35 (0%)"
"org.graalvm.visualvm.lib.jfluid.wireprotocol.Response","816 B (0%)","34 (0%)"
"org.graalvm.visualvm.lib.jfluid.wireprotocol.DumpResultsResponse","1,088 B (0%)","34 (0%)"
"org.graalvm.visualvm.lib.jfluid.wireprotocol.EventBufferDumpedCommand","1,088 B (0%)","34 (0%)"
"sun.misc.JarIndex","792 B (0%)","33 (0%)"
"java.io.FilePermissionCollection","792 B (0%)","33 (0%)"
"javassist.bytecode.ExceptionsAttribute","768 B (0%)","32 (0%)"
"java.io.FilePermission","1,024 B (0%)","32 (0%)"
"com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$IdentityMapping","768 B (0%)","32 (0%)"
"sun.reflect.BootstrapConstructorAccessorImpl","496 B (0%)","31 (0%)"
"java.security.Provider$EngineDescription","960 B (0%)","30 (0%)"
